R,VROT,VROT_ERR_MIN,VROT_ERR_MAX
7.922,213.154,213.154,213.154
7.922,203.954,203.954,203.954
7.94,225.509,225.509,225.509
7.94,202.109,202.109,202.109
7.953,211.118,209.618,212.618
7.956,235.504,235.504,235.504
7.956,202.104,202.104,202.104
7.965,199.13,196.116,202.143
7.965,199.13,196.116,202.143
7.97,209.039,209.039,209.039
7.97,203.039,203.039,203.039
7.981,210.413,210.413,210.413
7.981,200.013,200.013,200.013
7.989,208.726,208.726,208.726
7.989,200.526,200.526,200.526
7.995,211.778,211.778,211.778
7.995,200.078,200.078,200.078
7.995,203.38,201.857,204.903
7.995,203.38,201.857,204.903
7.999,209.67,209.67,209.67
7.999,200.07,200.07,200.07
8,200,200,200
8,207.5,206,209
8,200,200,200
8.048,197.144,193.79,200.499
8.048,197.144,193.79,200.499
8.055,201.386,191.175,211.597
8.055,201.386,191.175,211.597
8.073,187.494,186.515,188.472
8.073,187.494,186.515,188.472
8.092,202.093,201.057,203.13
8.092,202.093,201.057,203.13
8.138,211.652,210.369,212.934
8.138,211.652,210.369,212.934
8.177,193.441,191.241,195.642
8.177,193.441,191.241,195.642
8.26,189.373,186.781,191.965
8.26,189.373,186.781,191.965
8.305,198.369,196.942,199.796
8.305,198.369,196.942,199.796
8.378,231.714,222.55,240.877
8.378,231.714,222.55,240.877
8.383,165.661,162.084,169.239
8.383,165.661,162.084,169.239
8.436,209.601,204.257,214.946
8.436,209.601,204.257,214.946
8.441,192.557,189.094,196.021
8.441,192.557,189.094,196.021
8.462,188.915,184.846,192.984
8.462,188.915,184.846,192.984
8.562,201.026,196.227,205.824
8.562,201.026,196.227,205.824
8.607,168.311,162.562,174.061
8.607,168.311,162.562,174.061
8.628,196.398,189.619,203.177
8.628,196.398,189.619,203.177
8.741,199.124,194.804,203.444
8.741,199.124,194.804,203.444
8.785,179.804,172.718,186.89
8.785,179.804,172.718,186.89
8.853,192.623,184.712,200.534
8.853,192.623,184.712,200.534
8.862,192.245,189.166,195.324
8.862,192.245,189.166,195.324
8.98,159.935,151.919,167.951
8.98,159.935,151.919,167.951
9.12,193,186.5,199.5
9.164,173.001,161.723,184.279
9.164,173.001,161.723,184.279
9.194,201.865,165.887,237.844
9.194,201.865,165.887,237.844
9.207,177.061,170.812,183.31
9.207,177.061,170.812,183.31
9.291,174.977,163.614,186.339
9.291,174.977,163.614,186.339
9.34,160,157.98,162.01
9.346,162.471,144.369,180.574
9.346,162.471,144.369,180.574
9.383,191.772,179.462,204.082
9.383,191.772,179.462,204.082
9.396,164.06,150.271,177.849
9.396,164.06,150.271,177.849
9.41,169.446,155.599,183.294
9.41,169.446,155.599,183.294
9.44,174.33,169.27,179.38
9.447,179.11,163.166,195.055
9.447,169.068,159.98,178.156
9.447,179.11,163.166,195.055
9.447,169.068,159.98,178.156
9.453,199.12,194.499,203.741
9.453,199.12,194.499,203.741
9.498,212.639,199.633,225.645
9.498,212.639,199.633,225.645
9.5,146.01,139.96,152.06
9.52,190.702,176.879,204.525
9.52,190.702,176.879,204.525
9.572,163.145,154.799,171.491
9.572,163.145,154.799,171.491
9.577,188.017,183.463,192.57
9.577,188.017,183.463,192.57
9.585,167.46,148.506,186.415
9.585,167.46,148.506,186.415
9.61,144.07,137.98,150.16
9.618,192.827,176.993,208.661
9.618,192.827,176.993,208.661
9.669,220.832,213.886,227.779
9.669,220.832,213.886,227.779
9.834,184.67,161.761,207.579
9.834,184.67,161.761,207.579
9.869,187.174,168.994,205.353
9.869,187.174,168.994,205.353
10.15,197.75,185.9,209.6
10.15,174.85,163.07,186.63
10.242,198.292,176.909,219.675
10.242,198.292,176.909,219.675
10.25,142.04,136.02,148.07
10.26,184.31,170.77,197.85
10.32,152.17,145.16,159.18
10.36,168.29,163.13,173.44
10.38,135.12,124.85,145.39
10.39,155.44,149.19,161.69
10.4,214,198,230
10.42,194.73,181.71,207.75
10.42,217.18,211.09,223.27
10.45,182.96,165.59,200.34
10.48,167.94,163.89,172
10.507,187.622,176.474,198.77
10.507,187.622,176.474,198.77
10.508,143.702,117.299,170.104
10.508,143.702,117.299,170.104
10.57,166.9,158.85,174.96
10.701,208.617,190.831,226.404
10.701,208.617,190.831,226.404
10.747,170.272,131.465,209.078
10.747,170.272,131.465,209.078
10.91,178.67,176.14,181.2
10.97,350.982,320.279,381.685
10.97,350.982,320.279,381.685
10.97,181.99,170.68,193.31
10.997,211.471,192.755,230.187
10.997,211.471,192.755,230.187
11.04,197.1,191.61,202.6
11.12,188.01,176.41,199.61
11.2,225,207,243
11.2,205.63,195.82,215.45
11.29,210.95,197.68,224.22
11.3,195.921,183.382,208.459
11.3,195.921,183.382,208.459
11.39,122.94,120.27,125.61
11.404,149.153,107.938,190.368
11.404,149.153,107.938,190.368
11.457,219.98,189.632,250.328
11.457,219.98,189.632,250.328
11.59,207.49,200.24,214.75
11.694,201.978,177.328,226.629
11.694,201.978,177.328,226.629
11.745,224.305,191.264,257.346
11.745,224.305,191.264,257.346
11.839,215.606,176.902,254.309
11.839,215.606,176.902,254.309
11.839,215.606,176.902,254.309
11.839,215.606,176.902,254.309
11.841,215.109,185.754,244.464
11.841,215.109,185.754,244.464
11.92,223,202,244
12.022,195.996,181.021,210.97
12.022,195.996,181.021,210.97
12.049,219.964,203.021,236.907
12.049,219.964,203.021,236.907
12.15,73.33,66.61,80.06
12.18,244.3,240.15,248.45
12.27,193.94,187.29,200.59
12.335,203.363,193.18,213.547
12.335,203.363,193.18,213.547
12.465,205.838,186.377,225.299
12.465,205.838,186.377,225.299
12.52,103.42,100.82,106.03
12.6,191.23,182.61,199.86
12.656,210.216,197.842,222.589
12.656,210.216,197.842,222.589
12.716,182.367,163.456,201.279
12.716,182.367,163.456,201.279
12.72,222.5,205.5,239.5
12.992,231.11,211.352,250.868
12.992,231.11,211.352,250.868
