R,R_ERR_MIN,R_ERR_MAX,VROT_DATA,VROT_DATA_ERR_MIN,VROT_DATA_ERR_MAX,VROT_GR,VROT_DARK,VROT_TOTAL,VROT_CONFORMAL,VROT_BULGE
2.8,2.8,2.8,196,180,212,216.61457505000584,52.90038148637698,222.980547325319,205.32236846528812,97.08965067836469
2.824,2.824,2.824,192.241,190.241,194.241,216.8893236362292,53.29109861508305,223.3403678222624,205.5257167099601,96.67620813020737
2.867,2.867,2.867,192.674,192.674,192.674,217.37089943033808,53.98780645515395,223.9749788815557,205.88135523079595,95.94848190550377
2.867,2.867,2.867,199.174,199.174,199.174,217.37089943033808,53.98780645515395,223.9749788815557,205.88135523079595,95.94848190550377
2.871,2.871,2.871,189.824,187.824,191.824,217.41499683038828,54.05239909836255,224.03335174711466,205.9138663714757,95.88161884380601
2.918,2.918,2.918,192.406,190.906,193.906,217.9241666456609,54.80858662043758,224.7107553623898,206.2885251037824,95.10630528712234
2.936,2.936,2.936,193.559,192.059,195.059,218.11477433973351,55.09683394100318,224.96603275960427,206.42840693147554,94.81431867018838
2.974,2.974,2.974,185.865,184.365,187.365,218.50915037681847,55.70288560420825,225.49736198686355,206.71711572856293,94.20663082589196
2.997,2.997,2.997,190.221,190.221,190.221,218.74255616997183,56.06807606636236,225.81393897090737,206.88749456401774,93.84444770332507
2.997,2.997,2.997,197.922,197.922,197.922,218.74255616997183,56.06807606636236,225.81393897090737,206.88749456401774,93.84444770332507
3.031,3.031,3.031,190.424,188.924,191.924,219.08026694158974,56.60566873398682,226.27497673410568,207.13330734454243,93.3166170122275
3.059,3.059,3.059,193.353,191.853,194.853,219.35181898842805,57.04637151391612,226.64842597387667,207.33030916060565,92.88855687904389
3.106,3.106,3.106,191.435,189.935,192.935,219.794320098297,57.78201677336135,227.26263355393394,207.64994426949414,92.18308295656959
3.126,3.126,3.126,193.146,193.146,193.146,219.9775619636001,58.093495778680015,227.5191904416791,207.78175870022608,91.8877182659916
3.126,3.126,3.126,203.246,203.246,203.246,219.9775619636001,58.093495778680015,227.5191904416791,207.78175870022608,91.8877182659916
3.162,3.162,3.162,191.094,189.594,192.594,220.29980647299817,58.65180791420382,227.97376889380303,208.01270933104487,91.36314089721733
3.2,3.2,3.2,187.7,186.2,189.2,220.62939413071823,59.237858953991825,228.4435455160439,208.24769502015027,90.81905216071178
3.219,3.219,3.219,191.453,189.953,192.953,220.79013430541065,59.529621821820605,228.67457069129978,208.36180775796848,90.55062783699037
3.247,3.247,3.247,196.682,195.182,198.182,221.0221057749577,59.958054028513345,229.01034798472037,208.52587728695033,90.159357861712
3.254,3.254,3.254,217.847,217.847,217.847,221.0791869852701,60.06487650973213,229.09342266463565,208.56613348209984,90.06233031342099
3.254,3.254,3.254,206.147,206.147,206.147,221.0791869852701,60.06487650973213,229.09342266463565,208.56613348209984,90.06233031342099
3.304,3.304,3.304,201.441,199.941,202.941,221.47634939874695,60.8245733263464,229.676733831113,208.84485435023362,89.37826807582712
3.332,3.332,3.332,197.071,195.571,198.571,221.69070482430138,61.247459753826604,229.99569546361542,208.99420372433346,89.00193685455956
3.369,3.369,3.369,193.776,192.276,195.276,221.96514951756203,61.803474803757965,230.40876089717685,209.18418785571978,88.51185623927529
3.381,3.381,3.381,216.824,216.824,216.824,222.05201502860533,61.983120048752625,230.540678729898,209.2440105394228,88.35464145044355
3.381,3.381,3.381,202.324,202.324,202.324,222.05201502860533,61.983120048752625,230.540678729898,209.2440105394228,88.35464145044355
3.407,3.407,3.407,195.482,193.982,196.982,222.23664001271206,62.3712029359631,230.8230731963745,209.37062667675036,88.01686331673444
3.445,3.445,3.445,197.688,196.188,199.188,222.49770292377397,62.93557614051501,231.2274087354147,209.54833552079597,87.53008316065743
3.482,3.482,3.482,197.694,195.694,199.694,222.74196018741085,63.48187780371024,231.61159219178845,209.71304785161874,87.06379043648434
3.507,3.507,3.507,200.174,200.174,200.174,222.9014928382671,63.8492044563713,231.86590180369245,209.8197287821158,86.75291395129432
3.507,3.507,3.507,200.074,200.074,200.074,222.9014928382671,63.8492044563713,231.86590180369245,209.8197287821158,86.75291395129432
3.529,3.529,3.529,199.176,197.176,201.176,223.0382338394731,64.17125512623139,232.08619894062497,209.91055306190898,86.48207972899475
3.576,3.576,3.576,197.059,195.059,199.059,223.31901379890246,64.85552421755887,232.54595448136428,210.09508306842753,85.91187532863151
3.59,3.59,3.59,223.11,220.68,225.54000000000002,223.39968386469513,65.05836331972067,232.6800579952792,210.14756546609127,85.74419550133916
3.6,3.6,3.6,208,193,223,223.45647704722703,65.20297170517814,232.77505161323487,210.18435942509188,85.62502352505301
3.614,3.614,3.614,196.465,194.965,197.965,223.53483199971916,65.40503634375729,232.90693398065864,210.23490364154495,85.45901446025024
